t,x,y
0.00000,0.00000,0.70000
0.00100,0.00651,0.70650
0.00200,0.01302,0.71299
0.00300,0.01953,0.71947
0.00400,0.02604,0.72594
0.00500,0.03255,0.73240
0.00600,0.03906,0.73885
0.00700,0.04557,0.74529
0.00800,0.05208,0.75173
0.00900,0.05859,0.75815
0.01000,0.06510,0.76456
0.01100,0.07161,0.77096
0.01200,0.07812,0.77735
0.01300,0.08463,0.78374
0.01400,0.09114,0.79011
0.01500,0.09765,0.79647
0.01600,0.10416,0.80282
0.01700,0.11067,0.80917
0.01800,0.11718,0.81550
0.01900,0.12369,0.82182
0.02000,0.13020,0.82814
0.02100,0.13671,0.83444
0.02200,0.14322,0.84074
0.02300,0.14973,0.84702
0.02400,0.15624,0.85330
0.02500,0.16275,0.85956
0.02600,0.16926,0.86581
0.02700,0.17577,0.87206
0.02800,0.18228,0.87830
0.02900,0.18879,0.88452
0.03000,0.19530,0.89074
0.03100,0.20181,0.89694
0.03200,0.20832,0.90314
0.03300,0.21483,0.90932
0.03400,0.22134,0.91550
0.03500,0.22785,0.92167
0.03600,0.23436,0.92782
0.03700,0.24087,0.93397
0.03800,0.24738,0.94011
0.03900,0.25389,0.94624
0.04000,0.26040,0.95235
0.04100,0.26691,0.95846
0.04200,0.27342,0.96456
0.04300,0.27993,0.97065
0.04400,0.28644,0.97673
0.04500,0.29295,0.98279
0.04600,0.29946,0.98885
0.04700,0.30597,0.99490
0.04800,0.31248,1.00094
0.04900,0.31899,1.00697
0.05000,0.32550,1.01299
0.05100,0.33201,1.01900
0.05200,0.33852,1.02500
0.05300,0.34503,1.03099
0.05400,0.35154,1.03697
0.05500,0.35805,1.04294
0.05600,0.36456,1.04890
0.05700,0.37107,1.05485
0.05800,0.37758,1.06079
0.05900,0.38409,1.06672
0.06000,0.39060,1.07264
0.06100,0.39711,1.07856
0.06200,0.40362,1.08446
0.06300,0.41013,1.09035
0.06400,0.41664,1.09623
0.06500,0.42315,1.10210
0.06600,0.42966,1.10797
0.06700,0.43617,1.11382
0.06800,0.44268,1.11966
0.06900,0.44919,1.12549
0.07000,0.45570,1.13132
0.07100,0.46221,1.13713
0.07200,0.46872,1.14293
0.07300,0.47522,1.14873
0.07400,0.48173,1.15451
0.07500,0.48824,1.16029
0.07600,0.49475,1.16605
0.07700,0.50126,1.17181
0.07800,0.50777,1.17755
0.07900,0.51428,1.18328
0.08000,0.52079,1.18901
0.08100,0.52730,1.19473
0.08200,0.53381,1.20043
0.08300,0.54032,1.20613
0.08400,0.54683,1.21181
0.08500,0.55334,1.21749
0.08600,0.55985,1.22315
0.08700,0.56636,1.22881
0.08800,0.57287,1.23446
0.08900,0.57938,1.24009
0.09000,0.58589,1.24572
0.09100,0.59240,1.25134
0.09200,0.59891,1.25695
0.09300,0.60542,1.26254
0.09400,0.61193,1.26813
